nombre,kms,mins,delay,timestamp,direccion_origen,origen_lat,origen_lon,direccion_destino,destino_lat,destino_lon
D1,25.177,17.783333333333335,0.0,2020-01-09T11:18:25+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.516666666666666,0.0,2020-01-09T11:20:31+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.05,0.0,2020-01-09T11:20:33+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.666666666666668,0.0,2020-01-09T11:20:35+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:20:37+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.416666666666668,0.0,2020-01-09T11:32:42+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.116666666666667,0.0,2020-01-09T11:32:44+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.566666666666666,0.0,2020-01-09T11:32:45+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:32:46+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.416666666666668,0.0,2020-01-09T11:32:55+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.116666666666667,0.0,2020-01-09T11:32:56+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.566666666666666,0.0,2020-01-09T11:32:57+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:32:58+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.416666666666668,0.0,2020-01-09T11:33:10+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.116666666666667,0.0,2020-01-09T11:33:11+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.566666666666666,0.0,2020-01-09T11:33:12+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:33:13+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.383333333333333,0.0,2020-01-09T11:36:08+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.116666666666667,0.0,2020-01-09T11:36:09+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.55,0.0,2020-01-09T11:36:11+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.766666666666666,0.0,2020-01-09T11:36:12+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,33.213,33.8,1.6333333333333333,2020-01-09T17:36:16+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.507,14.216666666666667,0.0,2020-01-09T17:36:16+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,27.3,0.5,2020-01-09T17:36:16+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.85,0.55,2020-01-09T17:36:17+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,40.58,36.71666666666667,0.5666666666666667,2020-01-09T17:36:17+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,33.36666666666667,0.4,2020-01-09T17:41:17+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.529,13.616666666666667,0.0,2020-01-09T17:41:18+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,27.2,0.4,2020-01-09T17:41:18+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.966666666666665,0.6333333333333333,2020-01-09T17:41:18+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,40.58,36.78333333333333,0.6333333333333333,2020-01-09T17:41:18+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,33.016666666666666,0.0,2020-01-09T17:46:19+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.1,14.216666666666667,0.0,2020-01-09T17:46:19+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,26.833333333333332,0.0,2020-01-09T17:46:19+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.716666666666665,0.26666666666666666,2020-01-09T17:46:20+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,40.58,36.38333333333333,0.11666666666666667,2020-01-09T17:46:20+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,32.983333333333334,0.0,2020-01-09T17:51:21+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
